iso_o,iso_d,dist,distw,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,log_dist,historical_tie,common_language
ARG,PRT,9621.854,9636.49,0,0,0,0,0,0,0,0,9.171792248583689,0,0
ARG,PRY,1051.13,1030.452,1,1,1,0,0,0,0,1,6.95762105494993,1,1
ARG,QAT,13337.25,13482.19,0,0,0,0,0,0,0,0,9.49831615129188,0,0
ARG,RWA,9763.369,9943.115,0,0,0,0,0,0,0,0,9.18639280427093,0,0
ARG,SAU,12880.18,12674.51,0,0,0,0,0,0,0,0,9.463444974715973,0,0
ARG,SEN,6994.295,7063.377,0,0,0,0,0,0,0,0,8.852850095744392,0,0
ARG,SGP,15891.11,16120.1,0,0,0,0,0,0,0,0,9.673515112345875,0,0
ARG,SVK,11879.9,12027.78,0,0,0,0,0,0,0,0,9.382603175372791,0,0
ARG,SVN,11580.75,11616.15,0,0,0,0,0,0,0,0,9.357099515869084,0,0
ARG,SWE,12585.03,12404.68,0,0,0,0,0,0,0,0,9.440263291356802,0,0
ARG,THA,16890.18,17137.09,0,0,0,0,0,0,0,0,9.734487666938664,0,0
ARG,TUN,10668.78,10649.98,0,0,0,0,0,0,0,0,9.275076998489588,0,0
ARG,TUR,12268.67,12474.38,0,0,0,0,0,0,0,0,9.414804137371826,0,0
ARG,TZA,10291.12,10335.99,0,0,0,0,0,0,0,0,9.239036666442482,0,0
ARG,UGA,10137.2,10340.32,0,0,0,0,0,0,0,0,9.22396710489084,0,0
ARG,URY,215.0746,529.559,1,1,1,0,0,0,0,1,5.370984944689339,1,1
ARG,USA,8542.694,8678.352,0,0,1,0,0,0,0,0,9.052831693711093,0,1
ARG,UZB,15457.45,15463.13,0,0,0,0,0,0,0,0,9.645846366751769,0,0
ARG,VNM,17877.15,17531.51,0,0,0,0,0,0,0,0,9.791278640049462,0,0
ARG,ZAF,6886.516,8071.708,0,0,0,0,0,0,0,0,8.837320575741023,0,0
ARG,ZMB,8756.319,9066.287,0,0,0,0,0,0,0,0,9.077530890139922,0,0
