iso3c,country,year,country_name_wdi,global_group,region,include_flag,who_name_override,wgi_name_override,notes,indicator,value
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,32888886
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,73.2
CAN,Canada,2007,Canada,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,1.90358
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,9.59427929
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,1.959
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.NUMW.P3,9.123
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.BEDS.ZS,2.83
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SP.DYN.LE00.IN,80.7246341463415
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,NY.GDP.PCAP.PP.KD,53711.6792064975
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SP.POP.TOTL,33247298
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,SE.ADT.LITR.ZS,NA
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,IT.NET.USER.ZS,76.69999695
CAN,Canada,2008,Canada,Global North,North America,yes,NA,NA,NA,GB.XPD.RSDV.GD.ZS,1.85578
CAN,Canada,2009,Canada,Global North,North America,yes,NA,NA,NA,SH.XPD.CHEX.GD.ZS,10.70402527
CAN,Canada,2009,Canada,Global North,North America,yes,NA,NA,NA,SH.MED.PHYS.ZS,NA
